H, ύ	X, μμ	Y, μμ
125.67	0	0
171.93	2	0
229.89	4	0
302.55	6	0
393.44	8	0
508.91	10	0
651.99	12	0
835.89	14	0
1108.09	16	0
1423.01	18	0
71.35	0	2
110.18	2	2
160.68	4	2
224.81	6	2
307.02	8	2
412.71	10	2
544.32	12	2
717.26	14	2
966.65	16	2
1254.19	18	2
7.29	0	4
38.45	2	4
79.83	4	4
132.94	6	4
201.82	8	4
290.70	10	4
402.48	12	4
550.10	14	4
758.08	16	4
1000.03	18	4
-59.44	0	6
-37.00	2	6
-6.31	4	6
33.33	6	6
83.26	8	6
151.81	10	6
238.14	12	6
349.98	14	6
517.45	16	6
701.73	18	6
-135.74	0	8
-124.25	2	8
-109.34	4	8
-88.47	6	8
-60.00	8	8
-20.64	10	8
32.19	12	8
104.56	14	8
210.42	16	8
323.02	18	8
-215.32	0	10
-219.25	2	10
-222.58	4	10
-222.60	6	10
-217.80	8	10
-208.99	10	10
-192.97	12	10
-170.22	14	10
-127.63	16	10
-70.59	18	10
-294.42	0	12
-312.89	2	12
-332.27	4	12
-353.00	6	12
-373.73	8	12
-395.43	10	12
-418.10	12	12
-442.31	14	12
-465.44	16	12
-484.00	18	12
-374.29	0	14
-406.87	2	14
-442.78	4	14
-485.70	6	14
-532.60	8	14
-584.59	10	14
-648.48	12	14
-722.78	14	14
-818.66	16	14
-918.43	18	14
-450.25	0	16
-496.53	2	16
-548.86	4	16
-613.15	6	16
-682.27	8	16
-768.52	10	16
-869.42	12	16
-994.26	14	16
-1154.22	16	16
-1343.29	18	16
-524.31	0	18
-584.62	2	18
-655.72	4	18
-737.40	6	18
-830.20	8	18
-946.11	10	18
-1084.75	12	18
-1249.03	14	18
-1478.58	16	18
-1745.44	18	18
-592.31	0	20
-665.73	2	20
-748.98	4	20
-846.55	6	20
-960.62	8	20
-1100.51	10	20
-1265.18	12	20
-1467.55	14	20
-1740.90	16	20
-2062.36	18	20
-656.50	0	22
-740.81	2	22
-835.06	4	22
-949.87	6	22
-1079.93	8	22
-1240.43	10	22
-1424.88	12	22
-1652.97	14	22
-1931.56	16	22
-2267.63	18	22
-699.18	0	24
-789.08	2	24
-892.28	4	24
-1014.00	6	24
-1157.46	8	24
-1323.91	10	24
