H, ύ	X, μμ	Y, μμ
-240.41	0	0
-259.92	2	0
-280.96	4	0
-304.08	6	0
-329.28	8	0
-358.18	10	0
-389.66	12	0
-425.58	14	0
-473.37	16	0
-520.37	18	0
-573.79	20	0
-633.70	22	0
-708.07	24	0
-797.52	26	0
-901.13	28	0
-1007.87	30	0
-242.16	0	2
-262.48	2	2
-285.19	4	2
-311.39	6	2
-340.01	8	2
-371.37	10	2
-405.31	12	2
-444.38	14	2
-495.66	16	2
-546.46	18	2
-601.77	20	2
-670.23	22	2
-747.28	24	2
-837.00	26	2
-948.43	28	2
-1074.49	30	2
-247.95	0	4
-269.99	2	4
-295.23	4	4
-321.56	6	4
-351.01	8	4
-384.10	10	4
-420.95	12	4
-461.43	14	4
-515.72	16	4
-567.60	18	4
-625.75	20	4
-694.77	22	4
-773.02	24	4
-861.74	26	4
-967.22	28	4
-1098.18	30	4
-257.83	0	6
-280.28	2	6
-305.69	4	6
-334.48	6	6
-364.84	8	6
-398.60	10	6
-437.01	12	6
-479.34	14	6
-530.65	16	6
-583.63	18	6
-641.98	20	6
-707.23	22	6
-787.24	24	6
-877.86	26	6
-987.57	28	6
-1099.50	30	6
-263.27	0	8
-286.17	2	8
-312.21	4	8
-341.01	6	8
-372.41	8	8
-405.99	10	8
-444.66	12	8
-486.92	14	8
-536.33	16	8
-587.19	18	8
-646.35	20	8
-712.41	22	8
-789.69	24	8
-875.79	26	8
-979.73	28	8
-1100.08	30	8
-266.58	0	10
-289.84	2	10
-315.71	4	10
-344.35	6	10
-375.18	8	10
-407.78	10	10
-444.45	12	10
-486.29	14	10
-534.90	16	10
-583.93	18	10
-639.00	20	10
-705.75	22	10
-782.19	24	10
-869.98	26	10
-974.96	28	10
-1091.95	30	10
-266.41	0	12
-288.65	2	12
-314.04	4	12
-340.81	6	12
-369.94	8	12
-400.38	10	12
-437.00	12	12
-476.29	14	12
-524.08	16	12
-571.44	18	12
-629.02	20	12
-698.36	22	12
-779.15	24	12
-872.27	26	12
-990.88	28	12
-1127.90	30	12
-261.37	0	14
-283.39	2	14
-307.91	4	14
-334.30	6	14
-363.97	8	14
-395.70	10	14
-433.66	12	14
-475.22	14	14
-527.75	16	14
-583.76	18	14
-648.95	20	14
-724.76	22	14
-810.94	24	14
-917.85	26	14
-1049.33	28	14
-1192.91	30	14
-257.56	0	16
-280.10	2	16
-305.00	4	16
-332.13	6	16
-365.02	8	16
-399.42	10	16
-438.45	12	16
-482.09	14	16
-537.16	16	16
-594.92	18	16
-661.09	20	16
-736.91	22	16
-828.61	24	16
-932.86	26	16
-1055.53	28	16
-1198.69	30	16
-255.23	0	18
-279.28	2	18
-305.73	4	18
-334.52	6	18
-365.34	8	18
-400.07	10	18
-438.74	12	18
-483.54	14	18
-535.64	16	18
-593.25	18	18
-657.33	20	18
-729.41	22	18
-815.46	24	18
-911.98	26	18
-1023.42	28	18
-1148.66	30	18
-256.69	0	20
-280.34	2	20
-305.31	4	20
-333.13	6	20
-365.01	8	20
-397.95	10	20
-436.18	12	20
-479.47	14	20
-530.32	16	20
-583.91	18	20
-645.34	20	20
-711.56	22	20
-787.16	24	20
-881.44	26	20
-988.35	28	20
-1106.74	30	20
-255.60	0	22
-278.79	2	22
-303.17	4	22
-330.12	6	22
-360.89	8	22
-393.18	10	22
-428.82	12	22
-470.19	14	22
-517.73	16	22
-565.66	18	22
-620.26	20	22
-683.66	22	22
-756.21	24	22
-840.54	26	22
-932.71	28	22
-1034.26	30	22
-252.97	0	24
-275.58	2	24
-299.25	4	24
-325.04	6	24
-354.02	8	24
-384.48	10	24
-417.92	12	24
-453.78	14	24
-499.32	16	24
-543.37	18	24
-593.37	20	24
-650.41	22	24
-714.52	24	24
-792.86	26	24
-882.06	28	24
-982.70	30	24
-247.79	0	26
-268.89	2	26
-290.69	4	26
-314.12	6	26
-341.22	8	26
-367.99	10	26
-398.45	12	26
-431.61	14	26
-470.62	16	26
-511.14	18	26
-555.66	20	26
-606.83	22	26
-668.66	24	26
-741.09	26	26
-828.95	28	26
-928.31	30	26
-238.80	0	28
-257.52	2	28
-275.23	4	28
-295.91	6	28
-319.92	8	28
-345.07	10	28
-373.03	12	28
-405.00	14	28
-446.59	16	28
-486.87	18	28
-533.07	20	28
-589.92	22	28
-653.32	24	28
-729.52	26	28
-817.70	28	28
-934.85	30	28
